R1,R2,R3,R4,G1,G2,G3,G4,B1,B2,B3,B4
12.26174529722244,40.546849140813855,41.23371511633023,58.86278911367122,47.5020275779929,53.143459225357525,53.37977823590907,42.990487396032066,60.95151238831955,46.137256138756534,44.488197660675446,15.210397272384553
13.415010021665765,45.309554243611686,46.028178670721005,65.86900716653281,53.06740970733719,60.46239310374185,59.92507943681081,47.88532587109517,69.38038762304397,51.700190431387256,49.962429281212046,16.718064443713118
13.984895877488615,47.753312573737546,48.700534243000355,69.66749612594006,56.09342182583885,64.3845129329591,63.68128308360436,50.438774229289415,74.0647340338797,54.81544041192502,53.038507600613464,17.465811553826374
13.669306253779318,46.45509815333429,47.40985608121206,67.90192371734857,54.74262952205257,62.622669929131575,62.259054543399095,49.15412496422529,72.07271881146127,53.425996337479546,51.63296852203311,16.998334387823526
13.469720876888717,45.60409615738183,46.48419530291529,66.36712015296325,53.568651510576075,61.34919659852695,60.76674637632267,48.23132567864522,70.45468276325857,52.383909894218796,50.661082821538685,16.725821158617254
13.382832198703063,45.230397863234174,46.119129068468325,66.13512710015517,53.19552681698777,60.518117527176656,60.479333535020416,47.9294640254704,69.79494198910898,51.92242721985073,50.13063068053022,16.644177460745645
12.968944867840309,43.560047618674076,44.444682998008226,63.55312788052783,51.31670731442954,58.17181172645602,58.12415489154794,46.14528949377484,66.83299353206107,49.962289124565594,48.233954863745325,16.087081736985642
13.0620915496128,43.908168512794504,44.80105295998519,64.22043559533103,51.757601668967716,58.6898969972582,58.849148694104976,46.56586929844404,67.66211143937761,50.44209722317954,48.68023526832258,16.189577853679214
12.964975532535281,43.51620914169126,44.39958777936442,63.482071228564365,51.21426689618529,58.09666652593605,58.09688034546282,46.107994208425616,66.87014362770087,49.939248579357816,48.22959345021957,16.077095581729196
12.684934234783297,42.355187862435606,43.22334945766488,61.825704997774636,49.87550413696994,56.261801826508325,56.53017012276404,44.91718958593523,64.79392475806357,48.553642879015506,46.85303691362702,15.720717074630935
12.714450824230498,42.48198197465867,43.34833823112589,61.95758657183613,50.036435289231974,56.594700519632084,56.77883840917818,45.048280854177726,65.12999221104879,48.7719055078459,47.06901092406822,15.732151605805099
12.681424336855182,42.36620015972575,43.251087666129706,61.77161379539825,49.9164161724025,56.42203046509997,56.561473953394916,44.908927776894906,64.8667550243268,48.61632839748918,46.926912162546294,15.700149707974553
